Name,Age,City
Alice,39,New York
Charlie,23,New York
Charlie,44,Los Angeles
Bob,20,New York
Bob,40,New York
Alice,24,New York
Alice,25,New York
Bob,48,Chicago
Bob,39,Los Angeles
Charlie,50,Chicago
Bob,48,New York
Alice,46,Chicago
Charlie,38,Chicago
Bob,38,Chicago
Bob,25,New York
Bob,29,Chicago
Bob,38,Los Angeles
Charlie,36,New York
Bob,21,Los Angeles
Charlie,46,Chicago
Alice,25,New York
Bob,31,Los Angeles
Bob,29,New York
Alice,46,Chicago
Bob,47,Los Angeles
Charlie,32,Chicago
Bob,23,New York
Alice,32,Los Angeles
Charlie,49,Los Angeles
Alice,50,New York
Bob,21,New York
Bob,22,Los Angeles
Charlie,44,Chicago
Charlie,28,New York
Alice,47,Los Angeles
Bob,29,Los Angeles
Charlie,32,New York
Charlie,21,New York
Bob,31,Chicago
Bob,31,New York
Alice,22,Los Angeles
Alice,50,Los Angeles
Charlie,47,New York
Charlie,40,Los Angeles
Alice,45,New York
Alice,34,Chicago
Bob,45,Chicago
Charlie,37,Los Angeles
Charlie,47,Los Angeles
Charlie,39,New York
Charlie,42,Los Angeles
Bob,43,Chicago
Charlie,31,Chicago
Bob,46,Los Angeles
Alice,24,New York
Charlie,32,New York
Charlie,24,New York
Alice,30,Chicago
Bob,47,Los Angeles
Alice,45,Chicago
Bob,23,Los Angeles
Charlie,35,Los Angeles
Bob,43,Chicago
Alice,23,Chicago
Alice,42,New York
Alice,35,Los Angeles
Bob,46,Los Angeles
Alice,50,New York
Bob,23,Chicago
Alice,46,New York
Alice,42,Los Angeles
Bob,36,Los Angeles
Alice,28,New York
Charlie,46,New York
Alice,33,Los Angeles
Charlie,48,New York
Charlie,38,Los Angeles
Bob,34,New York
Charlie,37,Los Angeles
Bob,28,Los Angeles
Charlie,38,Los Angeles
Charlie,41,Los Angeles
Charlie,48,New York
Bob,32,Chicago
Alice,44,Chicago
Bob,24,Los Angeles
Alice,34,New York
Charlie,50,Chicago
Bob,26,Chicago
Bob,27,Chicago
Alice,23,Los Angeles
Charlie,36,Chicago
Bob,29,New York
Alice,27,Los Angeles
Bob,24,New York
Alice,27,Chicago
Bob,45,Chicago
Alice,41,New York
Charlie,34,New York
Bob,23,Los Angeles
